Program Digit,Zip_Code_Addr_CAD,,0
M,14210,August,2113.0
M,14210,September,2122.0
M,14210,October,2102.0
M,14210,November,2118.0
M,14210,December,2150.0
H,14218,January,1395.0
H,14218,February,1459.0
H,14218,March,1513.0
H,14218,April,1548.0
H,14218,May,1602.0
H,14218,June,1691.0
H,14218,July,1790.0
H,14218,August,1835.0
H,14218,September,1840.0
H,14218,October,1990.0
H,14218,November,2041.0
H,14218,December,2114.0
M,14221,January,1966.0
M,14221,February,1975.0
M,14221,March,1992.0
M,14221,April,2020.0
M,14221,May,2009.0
M,14221,June,2038.0
M,14221,July,2060.0
M,14221,August,2096.0
M,14221,September,2098.0
M,14221,October,2090.0
M,14221,November,2096.0
M,14221,December,2081.0
S,14215,January,2257.0
S,14215,February,2174.0
S,14215,March,2137.0
S,14215,April,2171.0
S,14215,May,2192.0
S,14215,June,2167.0
S,14215,July,2178.0
S,14215,August,2138.0
S,14215,September,2218.0
S,14215,October,2181.0
S,14215,November,2130.0
S,14215,December,2043.0
M,14220,January,1969.0
M,14220,February,1956.0
M,14220,March,1952.0
M,14220,April,1969.0
M,14220,May,1966.0
M,14220,June,1980.0
M,14220,July,1991.0
M,14220,August,2013.0
M,14220,September,2018.0
M,14220,October,2009.0
M,14220,November,2009.0
M,14220,December,2028.0
H,14220,January,1266.0
H,14220,February,1341.0
H,14220,March,1436.0
H,14220,April,1507.0
H,14220,May,1560.0
H,14220,June,1639.0
H,14220,July,1679.0
H,14220,August,1732.0
H,14220,September,1729.0
H,14220,October,1875.0
H,14220,November,1936.0
H,14220,December,2026.0
M,14075,January,1920.0
M,14075,February,1915.0
M,14075,March,1931.0
M,14075,April,1957.0
M,14075,May,1947.0
M,14075,June,1947.0
M,14075,July,1978.0
M,14075,August,1988.0
M,14075,September,1982.0
M,14075,October,1982.0
M,14075,November,1999.0
M,14075,December,1993.0
F,14221,January,1936.0
F,14221,February,1928.0
F,14221,March,1952.0
F,14221,April,1991.0
F,14221,May,1979.0
F,14221,June,1972.0
F,14221,July,1955.0
F,14221,August,1930.0
F,14221,September,1969.0
F,14221,October,1954.0
F,14221,November,1978.0
F,14221,December,1988.0
P,14211,January,2125.0
P,14211,February,2095.0
P,14211,March,2017.0
P,14211,April,1993.0
P,14211,May,1936.0
P,14211,June,1906.0
P,14211,July,1932.0
P,14211,August,1912.0
P,14211,September,1880.0
P,14211,October,1914.0
P,14211,November,1934.0
P,14211,December,1888.0
H,14210,January,1090.0
H,14210,February,1134.0
H,14210,March,1209.0
H,14210,April,1246.0
H,14210,May,1288.0
H,14210,June,1389.0
H,14210,July,1494.0
H,14210,August,1525.0
H,14210,September,1527.0
H,14210,October,1652.0
H,14210,November,1761.0
H,14210,December,1820.0
F,14223,January,1922.0
F,14223,February,1934.0
F,14223,March,1908.0
F,14223,April,1905.0
F,14223,May,1900.0
F,14223,June,1891.0
F,14223,July,1827.0
F,14223,August,1815.0
F,14223,September,1824.0
F,14223,October,1852.0
F,14223,November,1826.0
F,14223,December,1814.0
H,14212,January,1025.0
H,14212,February,1086.0
H,14212,March,1183.0
H,14212,April,1255.0
H,14212,May,1301.0
H,14212,June,1414.0
H,14212,July,1489.0
H,14212,August,1536.0
H,14212,September,1536.0
H,14212,October,1645.0
H,14212,November,1719.0
H,14212,December,1792.0
M,14224,January,1673.0
M,14224,February,1683.0
M,14224,March,1693.0
M,14224,April,1701.0
M,14224,May,1714.0
M,14224,June,1710.0
M,14224,July,1718.0
M,14224,August,1738.0
M,14224,September,1740.0
M,14224,October,1740.0
M,14224,November,1757.0
M,14224,December,1772.0
M,14216,January,1680.0
M,14216,February,1690.0
M,14216,March,1700.0
M,14216,April,1714.0
M,14216,May,1719.0
M,14216,June,1714.0
M,14216,July,1719.0
M,14216,August,1741.0
M,14216,September,1754.0
M,14216,October,1747.0
M,14216,November,1736.0
M,14216,December,1746.0
H,14208,January,1005.0
H,14208,February,1054.0
H,14208,March,1131.0
H,14208,April,1191.0
H,14208,May,1218.0
H,14208,June,1294.0
H,14208,July,1370.0
H,14208,August,1415.0
H,14208,September,1415.0
H,14208,October,1574.0
H,14208,November,1662.0
H,14208,December,1711.0
H,14075,January,1167.0
H,14075,February,1235.0
H,14075,March,1281.0
H,14075,April,1313.0
H,14075,May,1344.0
H,14075,June,1425.0
H,14075,July,1479.0
H,14075,August,1501.0
H,14075,September,1499.0
H,14075,October,1605.0
H,14075,November,1651.0
H,14075,December,1701.0
H,14224,January,1245.0
H,14224,February,1298.0
H,14224,March,1340.0
H,14224,April,1373.0
H,14224,May,1420.0
H,14224,June,1464.0
H,14224,July,1499.0
H,14224,August,1529.0
H,14224,September,1529.0
H,14224,October,1576.0
H,14224,November,1623.0
H,14224,December,1683.0
M,14227,January,1517.0
M,14227,February,1510.0
M,14227,March,1531.0
M,14227,April,1527.0
M,14227,May,1547.0
M,14227,June,1574.0
M,14227,July,1580.0
M,14227,August,1591.0
M,14227,September,1600.0
M,14227,October,1592.0
M,14227,November,1595.0
M,14227,December,1599.0
P,14207,January,1971.0
P,14207,February,1905.0
P,14207,March,1890.0
P,14207,April,1829.0
P,14207,May,1782.0
P,14207,June,1771.0
P,14207,July,1741.0
P,14207,August,1651.0
P,14207,September,1639.0
P,14207,October,1626.0
P,14207,November,1646.0
P,14207,December,1593.0
M,14226,January,1439.0
M,14226,February,1436.0
M,14226,March,1459.0
M,14226,April,1450.0
M,14226,May,1456.0
M,14226,June,1467.0
M,14226,July,1513.0
M,14226,August,1545.0
M,14226,September,1556.0
M,14226,October,1550.0
M,14226,November,1568.0
M,14226,December,1575.0
P,14213,January,1821.0
P,14213,February,1815.0
P,14213,March,1813.0
P,14213,April,1759.0
P,14213,May,1681.0
P,14213,June,1622.0
P,14213,July,1642.0
P,14213,August,1608.0
P,14213,September,1563.0
P,14213,October,1585.0
P,14213,November,1573.0
P,14213,December,1558.0
M,14217,January,1550.0
M,14217,February,1544.0
M,14217,March,1549.0
M,14217,April,1551.0
M,14217,May,1527.0
M,14217,June,1530.0
M,14217,July,1542.0
M,14217,August,1542.0
M,14217,September,1555.0
M,14217,October,1554.0
M,14217,November,1554.0
M,14217,December,1537.0
M,14228,January,1438.0
M,14228,February,1420.0
M,14228,March,1445.0
M,14228,April,1452.0
M,14228,May,1445.0
M,14228,June,1464.0
M,14228,July,1478.0
M,14228,August,1485.0
M,14228,September,1487.0
M,14228,October,1519.0
M,14228,November,1518.0
M,14228,December,1523.0
F,14086,January,1512.0
F,14086,February,1505.0
F,14086,March,1473.0
F,14086,April,1460.0
F,14086,May,1441.0
F,14086,June,1418.0
F,14086,July,1426.0
F,14086,August,1392.0
F,14086,September,1399.0
F,14086,October,1444.0
F,14086,November,1478.0
F,14086,December,1474.0
F,14209,January,1456.0
F,14209,February,1457.0
F,14209,March,1462.0
F,14209,April,1490.0
F,14209,May,1456.0
F,14209,June,1461.0
F,14209,July,1460.0
F,14209,August,1476.0
F,14209,September,1486.0
F,14209,October,1470.0
F,14209,November,1492.0
F,14209,December,1473.0
H,14214,January,915.0
H,14214,February,955.0
H,14214,March,1035.0
H,14214,April,1071.0
H,14214,May,1098.0
H,14214,June,1165.0
H,14214,July,1223.0
H,14214,August,1257.0
H,14214,September,1256.0
H,14214,October,1375.0
H,14214,November,1418.0
H,14214,December,1444.0
F,14219,January,1418.0
F,14219,February,1427.0
F,14219,March,1430.0
F,14219,April,1448.0
F,14219,May,1425.0
F,14219,June,1420.0
F,14219,July,1417.0
F,14219,August,1400.0
F,14219,September,1402.0
F,14219,October,1406.0
F,14219,November,1405.0
F,14219,December,1409.0
H,14217,January,983.0
H,14217,February,1040.0
H,14217,March,1066.0
H,14217,April,1094.0
H,14217,May,1113.0
H,14217,June,1147.0
H,14217,July,1193.0
H,14217,August,1227.0
H,14217,September,1224.0
H,14217,October,1290.0
H,14217,November,1340.0
H,14217,December,1387.0
H,14226,January,921.0
H,14226,February,959.0
H,14226,March,995.0
H,14226,April,1041.0
H,14226,May,1059.0
H,14226,June,1135.0
H,14226,July,1180.0
H,14226,August,1223.0
H,14226,September,1227.0
H,14226,October,1277.0
H,14226,November,1325.0
H,14226,December,1372.0
H,14227,January,953.0
H,14227,February,968.0
H,14227,March,1014.0
H,14227,April,1062.0
H,14227,May,1110.0
H,14227,June,1159.0
H,14227,July,1187.0
H,14227,August,1204.0
H,14227,September,1203.0
H,14227,October,1265.0
H,14227,November,1294.0
H,14227,December,1362.0
H,14216,January,875.0
H,14216,February,907.0
H,14216,March,969.0
H,14216,April,985.0
H,14216,May,1012.0
H,14216,June,1058.0
H,14216,July,1094.0
H,14216,August,1120.0
H,14216,September,1122.0
H,14216,October,1251.0
H,14216,November,1287.0
H,14216,December,1339.0
H,14221,January,893.0
H,14221,February,932.0
H,14221,March,990.0
H,14221,April,1028.0
H,14221,May,1061.0
H,14221,June,1118.0
H,14221,July,1155.0
H,14221,August,1190.0
H,14221,September,1189.0
H,14221,October,1250.0
H,14221,November,1281.0
H,14221,December,1324.0
H,14043,January,997.0
H,14043,February,1047.0
H,14043,March,1096.0
H,14043,April,1104.0
H,14043,May,1110.0
H,14043,June,1165.0
H,14043,July,1184.0
H,14043,August,1196.0
H,14043,September,1193.0
H,14043,October,1238.0
H,14043,November,1276.0
H,14043,December,1309.0
H,14223,January,857.0
H,14223,February,897.0
H,14223,March,940.0
H,14223,April,974.0
H,14223,May,996.0
H,14223,June,1035.0
H,14223,July,1065.0
H,14223,August,1092.0
H,14223,September,1092.0
H,14223,October,1170.0
H,14223,November,1217.0
H,14223,December,1265.0
M,14209,January,1112.0
M,14209,February,1132.0
M,14209,March,1158.0
M,14209,April,1177.0
M,14209,May,1170.0
M,14209,June,1181.0
M,14209,July,1184.0
M,14209,August,1203.0
M,14209,September,1231.0
M,14209,October,1231.0
M,14209,November,1226.0
M,14209,December,1223.0
S,14211,January,1340.0
S,14211,February,1311.0
S,14211,March,1252.0
S,14211,April,1277.0
S,14211,May,1251.0
S,14211,June,1251.0
S,14211,July,1243.0
S,14211,August,1242.0
S,14211,September,1274.0
S,14211,October,1260.0
S,14211,November,1227.0
S,14211,December,1222.0
M,14086,January,1147.0
M,14086,February,1142.0
M,14086,March,1148.0
M,14086,April,1166.0
M,14086,May,1171.0
M,14086,June,1174.0
M,14086,July,1178.0
M,14086,August,1185.0
M,14086,September,1194.0
M,14086,October,1192.0
M,14086,November,1204.0
M,14086,December,1212.0
M,14043,January,1120.0
M,14043,February,1130.0
M,14043,March,1140.0
M,14043,April,1137.0
M,14043,May,1132.0
M,14043,June,1167.0
M,14043,July,1175.0
M,14043,August,1179.0
M,14043,September,1198.0
M,14043,October,1198.0
M,14043,November,1206.0
M,14043,December,1194.0
P,14212,January,1207.0
P,14212,February,1223.0
P,14212,March,1181.0
P,14212,April,1149.0
P,14212,May,1087.0
P,14212,June,1080.0
P,14212,July,1087.0
P,14212,August,1055.0
P,14212,September,1092.0
P,14212,October,1120.0
P,14212,November,1127.0
P,14212,December,1081.0
M,14223,January,996.0
M,14223,February,1001.0
M,14223,March,1004.0
M,14223,April,1012.0
M,14223,May,996.0
M,14223,June,995.0
M,14223,July,1022.0
M,14223,August,1031.0
M,14223,September,1033.0
M,14223,October,1043.0
M,14223,November,1050.0
M,14223,December,1069.0
H,14086,January,693.0
H,14086,February,735.0
H,14086,March,773.0
H,14086,April,797.0
H,14086,May,831.0
H,14086,June,849.0
H,14086,July,892.0
H,14086,August,903.0
H,14086,September,902.0
H,14086,October,972.0
H,14086,November,1002.0
H,14086,December,1032.0
M,14202,January,896.0
M,14202,February,900.0
M,14202,March,897.0
M,14202,April,912.0
M,14202,May,948.0
M,14202,June,953.0
M,14202,July,967.0
M,14202,August,967.0
M,14202,September,991.0
M,14202,October,993.0
M,14202,November,1002.0
M,14202,December,1009.0
F,14006,January,1106.0
F,14006,February,1095.0
F,14006,March,1067.0
F,14006,April,1072.0
F,14006,May,1037.0
F,14006,June,1011.0
F,14006,July,992.0
F,14006,August,953.0
F,14006,September,970.0
F,14006,October,970.0
F,14006,November,969.0
F,14006,December,977.0
F,14222,January,967.0
F,14222,February,971.0
F,14222,March,982.0
F,14222,April,989.0
F,14222,May,973.0
F,14222,June,963.0
F,14222,July,955.0
F,14222,August,970.0
F,14222,September,971.0
F,14222,October,985.0
F,14222,November,979.0
F,14222,December,958.0
H,14228,January,528.0
H,14228,February,576.0
H,14228,March,647.0
H,14228,April,687.0
H,14228,May,741.0
H,14228,June,775.0
H,14228,July,806.0
H,14228,August,840.0
H,14228,September,835.0
H,14228,October,898.0
H,14228,November,931.0
H,14228,December,957.0
F,14127,January,941.0
F,14127,February,949.0
F,14127,March,930.0
F,14127,April,929.0
F,14127,May,917.0
F,14127,June,903.0
F,14127,July,901.0
F,14127,August,910.0
F,14127,September,932.0
F,14127,October,921.0
F,14127,November,923.0
F,14127,December,919.0
H,14204,January,491.0
H,14204,February,491.0
H,14204,March,501.0
H,14204,April,535.0
H,14204,May,572.0
H,14204,June,635.0
H,14204,July,667.0
H,14204,August,716.0
H,14204,September,713.0
H,14204,October,811.0
H,14204,November,871.0
H,14204,December,908.0
S,14207,January,854.0
S,14207,February,827.0
S,14207,March,828.0
S,14207,April,821.0
S,14207,May,828.0
S,14207,June,826.0
S,14207,July,845.0
S,14207,August,860.0
S,14207,September,848.0
S,14207,October,840.0
S,14207,November,839.0
S,14207,December,881.0
M,14203,January,779.0
M,14203,February,782.0
M,14203,March,801.0
M,14203,April,781.0
M,14203,May,783.0
M,14203,June,785.0
M,14203,July,793.0
M,14203,August,781.0
M,14203,September,783.0
M,14203,October,797.0
M,14203,November,823.0
M,14203,December,837.0
F,14072,January,844.0
F,14072,February,852.0
F,14072,March,878.0
F,14072,April,870.0
F,14072,May,851.0
F,14072,June,848.0
F,14072,July,845.0
F,14072,August,834.0
F,14072,September,823.0
F,14072,October,822.0
F,14072,November,827.0
F,14072,December,834.0
M,14127,January,759.0
M,14127,February,766.0
M,14127,March,763.0
M,14127,April,764.0
M,14127,May,770.0
M,14127,June,773.0
M,14127,July,780.0
M,14127,August,797.0
M,14127,September,799.0
M,14127,October,810.0
M,14127,November,799.0
M,14127,December,817.0
H,14219,January,576.0
H,14219,February,610.0
H,14219,March,631.0
H,14219,April,654.0
H,14219,May,653.0
H,14219,June,674.0
H,14219,July,694.0
H,14219,August,709.0
H,14219,September,708.0
H,14219,October,756.0
H,14219,November,772.0
H,14219,December,816.0
P,14206,January,843.0
P,14206,February,844.0
P,14206,March,838.0
P,14206,April,788.0
P,14206,May,787.0
P,14206,June,785.0
P,14206,July,787.0
P,14206,August,762.0
P,14206,September,761.0
P,14206,October,799.0
